Lab12
Stage 1 - Parallel 1 point
Worker 124, words count: 95
Worker 757, words count: 0
Worker 519, words count: 0
Worker 886, words count: 128
Worker 887, words count: 0
Worker 520, words count: 133
Worker 640, words count: 85
Worker 521, words count: 0
Worker 32, words count: 137
Worker 641, words count: 0
Worker 33, words count: 0
Worker 394, words count: 116
Worker 395, words count: 0
Worker 278, words count: 160
Worker 758, words count: 100
Worker 279, words count: 0
Worker 759, words count: 0
Worker 34, words count: 106
Worker 35, words count: 0
Worker 642, words count: 155
Worker 888, words count: 142
Worker 643, words count: 0
Worker 889, words count: 0
Worker 280, words count: 105
Worker 522, words count: 144
Worker 281, words count: 0
Worker 523, words count: 0
Worker 396, words count: 93
Worker 397, words count: 0
Worker 890, words count: 107
Worker 891, words count: 0
Worker 398, words count: 98
Worker 399, words count: 0
Worker 36, words count: 120
Worker 760, words count: 136
Worker 761, words count: 0
Worker 644, words count: 108
Worker 37, words count: 0
Worker 645, words count: 0
Worker 282, words count: 96
Worker 283, words count: 0
Worker 524, words count: 119
Worker 525, words count: 0
Worker 284, words count: 73
Worker 285, words count: 0
Worker 892, words count: 123
Worker 400, words count: 114
Worker 893, words count: 0
Worker 401, words count: 0
Worker 762, words count: 101
Worker 763, words count: 0
Worker 38, words count: 102
Worker 646, words count: 101
Worker 39, words count: 0
Worker 647, words count: 0
Worker 526, words count: 106
Worker 286, words count: 85
Worker 527, words count: 0
Worker 287, words count: 0
Worker 402, words count: 133
Worker 403, words count: 0
Worker 648, words count: 114
Worker 649, words count: 0
Worker 288, words count: 104
Worker 289, words count: 0
Worker 528, words count: 122
Worker 529, words count: 0
Worker 764, words count: 151
Worker 765, words count: 0
Worker 404, words count: 133
Worker 405, words count: 0
Worker 40, words count: 148
Worker 41, words count: 0
Worker 766, words count: 159
Worker 767, words count: 0
Worker 42, words count: 92
Worker 43, words count: 0
Worker 650, words count: 149
Worker 651, words count: 0
Worker 290, words count: 138
Worker 291, words count: 0
Worker 530, words count: 155
Worker 406, words count: 131
Worker 531, words count: 0
Worker 407, words count: 0
Worker 768, words count: 102
Worker 769, words count: 0
Worker 44, words count: 156
Worker 652, words count: 129
Worker 45, words count: 0
Worker 653, words count: 0
Worker 532, words count: 81
Worker 533, words count: 0
Worker 292, words count: 140
Worker 46, words count: 91
Worker 293, words count: 0
Worker 47, words count: 0
Worker 654, words count: 113
Worker 770, words count: 84
Worker 771, words count: 0
Worker 408, words count: 111
Worker 409, words count: 0
Worker 534, words count: 114
Worker 535, words count: 0
Worker 655, words count: 0
Worker 772, words count: 103
Worker 773, words count: 0
Worker 410, words count: 94
Worker 411, words count: 0
Worker 294, words count: 103
Worker 48, words count: 91
Worker 295, words count: 0
Worker 49, words count: 0
Worker 656, words count: 113
Worker 657, words count: 0
Worker 536, words count: 98
Worker 537, words count: 0
Worker 296, words count: 106
Worker 297, words count: 0
Worker 774, words count: 139
Worker 412, words count: 120
Worker 775, words count: 0
Worker 413, words count: 0
Worker 538, words count: 115
Worker 539, words count: 0
Worker 50, words count: 116
Worker 51, words count: 0
Worker 658, words count: 144
Worker 298, words count: 100
Worker 659, words count: 0
Worker 299, words count: 0
Worker 52, words count: 119
Worker 53, words count: 0
Worker 540, words count: 116
Worker 776, words count: 141
Worker 414, words count: 105
Worker 777, words count: 0
Worker 415, words count: 0
Worker 541, words count: 0
Worker 300, words count: 125
Worker 301, words count: 0
Worker 416, words count: 89
Worker 417, words count: 0
Worker 778, words count: 106
Worker 779, words count: 0
Worker 660, words count: 142
Worker 661, words count: 0
Worker 54, words count: 128
Worker 55, words count: 0
Worker 662, words count: 99
Worker 663, words count: 0
Worker 542, words count: 116
Worker 543, words count: 0
Worker 302, words count: 121
Worker 303, words count: 0
Worker 780, words count: 115
Worker 781, words count: 0
Worker 418, words count: 151
Worker 419, words count: 0
Worker 56, words count: 136
Worker 57, words count: 0
Worker 664, words count: 90
Worker 665, words count: 0
Worker 782, words count: 83
Worker 783, words count: 0
Worker 544, words count: 151
Worker 545, words count: 0
Worker 666, words count: 121
Worker 304, words count: 139
Worker 305, words count: 0
Worker 546, words count: 129
Worker 420, words count: 131
Worker 547, words count: 0
Worker 58, words count: 134
Worker 421, words count: 0
Worker 784, words count: 81
Worker 59, words count: 0
Worker 785, words count: 0
Worker 667, words count: 0
Worker 786, words count: 79
Worker 787, words count: 0
Worker 60, words count: 114
Worker 61, words count: 0
Worker 668, words count: 123
Worker 669, words count: 0
Worker 306, words count: 121
Worker 307, words count: 0
Worker 894, words count: 126
Worker 548, words count: 97
Worker 549, words count: 0
Worker 895, words count: 0
Worker 422, words count: 136
Worker 423, words count: 0
Worker 308, words count: 112
Worker 309, words count: 0
Worker 550, words count: 80
Worker 551, words count: 0
Worker 788, words count: 92
Worker 789, words count: 0
Worker 670, words count: 113
Worker 62, words count: 106
Worker 671, words count: 0
Worker 424, words count: 127
Worker 63, words count: 0
Worker 425, words count: 0
Worker 790, words count: 71
Worker 791, words count: 0
Worker 896, words count: 146
Worker 897, words count: 0
Worker 310, words count: 114
Worker 311, words count: 0
Worker 552, words count: 154
Worker 426, words count: 74
Worker 553, words count: 0
Worker 898, words count: 70
Worker 427, words count: 0
Worker 899, words count: 0
Worker 312, words count: 70
Worker 313, words count: 0
Worker 792, words count: 126
Worker 793, words count: 0
Worker 672, words count: 136
Worker 673, words count: 0
Worker 64, words count: 158
Worker 65, words count: 0
Worker 428, words count: 122
Worker 429, words count: 0
Worker 554, words count: 134
Worker 555, words count: 0
Worker 674, words count: 149
Worker 66, words count: 126
Worker 675, words count: 0
Worker 67, words count: 0
Worker 314, words count: 123
Worker 315, words count: 0
Worker 794, words count: 104
Worker 900, words count: 148
Worker 795, words count: 0
Worker 901, words count: 0
Worker 430, words count: 82
Worker 431, words count: 0
Worker 316, words count: 80
Worker 317, words count: 0
Worker 796, words count: 69
Worker 797, words count: 0
Worker 902, words count: 73
Worker 903, words count: 0
Worker 676, words count: 97
Worker 677, words count: 0
Worker 798, words count: 78
Worker 799, words count: 0
Worker 556, words count: 106
Worker 557, words count: 0
Worker 68, words count: 147
Worker 69, words count: 0
Worker 432, words count: 117
Worker 433, words count: 0
Worker 318, words count: 127
Worker 319, words count: 0
Worker 904, words count: 103
Worker 905, words count: 0
Worker 558, words count: 132
Worker 559, words count: 0
Worker 678, words count: 94
Worker 679, words count: 0
Worker 800, words count: 111
Worker 801, words count: 0
Worker 434, words count: 103
Worker 435, words count: 0
Worker 70, words count: 101
Worker 71, words count: 0
Worker 906, words count: 111
Worker 907, words count: 0
Worker 680, words count: 124
Worker 681, words count: 0
Worker 320, words count: 129
Worker 321, words count: 0
Worker 560, words count: 121
Worker 436, words count: 81
Worker 561, words count: 0
Worker 437, words count: 0
Worker 72, words count: 112
Worker 73, words count: 0
Worker 802, words count: 149
Worker 803, words count: 0
Worker 438, words count: 110
Worker 682, words count: 95
Worker 439, words count: 0
Worker 683, words count: 0
Worker 908, words count: 146
Worker 909, words count: 0
Worker 322, words count: 106
Worker 562, words count: 99
Worker 74, words count: 140
Worker 684, words count: 113
Worker 563, words count: 0
Worker 75, words count: 0
Worker 804, words count: 104
Worker 685, words count: 0
Worker 805, words count: 0
Worker 910, words count: 80
Worker 440, words count: 121
Worker 911, words count: 0
Worker 441, words count: 0
Worker 323, words count: 0
Worker 564, words count: 110
Worker 565, words count: 0
Worker 806, words count: 124
Worker 807, words count: 0
Worker 912, words count: 94
Worker 913, words count: 0
Worker 76, words count: 82
Worker 686, words count: 84
Worker 77, words count: 0
Worker 687, words count: 0
Worker 324, words count: 136
Worker 325, words count: 0
Worker 566, words count: 114
Worker 442, words count: 142
Worker 567, words count: 0
Worker 443, words count: 0
Worker 808, words count: 133
Worker 809, words count: 0
Worker 914, words count: 124
Worker 915, words count: 0
Worker 78, words count: 143
Worker 326, words count: 80
Worker 79, words count: 0
Worker 688, words count: 118
Worker 327, words count: 0
Worker 689, words count: 0
Worker 810, words count: 78
Worker 811, words count: 0
Worker 568, words count: 140
Worker 80, words count: 125
Worker 569, words count: 0
Worker 328, words count: 123
Worker 81, words count: 0
Worker 690, words count: 123
Worker 329, words count: 0
Worker 691, words count: 0
Worker 916, words count: 95
Worker 444, words count: 154
Worker 917, words count: 0
Worker 445, words count: 0
Worker 812, words count: 142
Worker 813, words count: 0
Worker 330, words count: 81
Worker 446, words count: 97
Worker 82, words count: 71
Worker 447, words count: 0
Worker 83, words count: 0
Worker 331, words count: 0
Worker 918, words count: 116
Worker 919, words count: 0
Worker 570, words count: 142
Worker 571, words count: 0
Worker 692, words count: 155
Worker 693, words count: 0
Worker 572, words count: 91
Worker 573, words count: 0
Worker 814, words count: 146
Worker 815, words count: 0
Worker 448, words count: 125
Worker 449, words count: 0
Worker 332, words count: 125
Worker 694, words count: 85
Worker 333, words count: 0
Worker 920, words count: 143
Worker 695, words count: 0
Worker 84, words count: 159
Worker 921, words count: 0
Worker 85, words count: 0
Worker 816, words count: 83
Worker 574, words count: 121
Worker 817, words count: 0
Worker 575, words count: 0
Worker 86, words count: 86
Worker 334, words count: 118
Worker 87, words count: 0
Worker 335, words count: 0
Worker 696, words count: 135
Worker 697, words count: 0
Worker 450, words count: 144
Worker 451, words count: 0
Worker 818, words count: 152
Worker 819, words count: 0
Worker 452, words count: 133
Worker 922, words count: 121
Worker 453, words count: 0
Worker 88, words count: 107
Worker 923, words count: 0
Worker 89, words count: 0
Worker 336, words count: 105
Worker 337, words count: 0
Worker 698, words count: 93
Worker 699, words count: 0
Worker 576, words count: 156
Worker 577, words count: 0
Worker 338, words count: 78
Worker 339, words count: 0
Worker 90, words count: 113
Worker 700, words count: 86
Worker 820, words count: 119
Worker 91, words count: 0
Worker 924, words count: 142
Worker 821, words count: 0
Worker 925, words count: 0
Worker 454, words count: 145
Worker 578, words count: 135
Worker 455, words count: 0
Worker 579, words count: 0
Worker 701, words count: 0
Worker 702, words count: 92
Worker 703, words count: 0
Worker 822, words count: 98
Worker 823, words count: 0
Worker 340, words count: 100
Worker 341, words count: 0
Worker 580, words count: 74
Worker 926, words count: 138
Worker 92, words count: 141
Worker 581, words count: 0
Worker 927, words count: 0
Worker 93, words count: 0
Worker 824, words count: 114
Worker 825, words count: 0
Worker 704, words count: 98
Worker 705, words count: 0
Worker 456, words count: 125
Worker 457, words count: 0
Worker 706, words count: 86
Worker 342, words count: 106
Worker 707, words count: 0
Worker 343, words count: 0
Worker 826, words count: 83
Worker 582, words count: 143
Worker 827, words count: 0
Worker 583, words count: 0
Worker 94, words count: 124
Worker 928, words count: 113
Worker 344, words count: 151
Worker 95, words count: 0
Worker 929, words count: 0
Worker 345, words count: 0
Worker 828, words count: 94
Worker 458, words count: 141
Worker 708, words count: 101
Worker 829, words count: 0
Worker 584, words count: 98
Worker 459, words count: 0
Worker 709, words count: 0
Worker 585, words count: 0
Worker 96, words count: 82
Worker 97, words count: 0
Worker 460, words count: 72
Worker 461, words count: 0
Worker 346, words count: 78
Worker 347, words count: 0
Worker 710, words count: 132
Worker 711, words count: 0
Worker 830, words count: 109
Worker 831, words count: 0
Worker 348, words count: 98
Worker 349, words count: 0
Worker 930, words count: 133
Worker 931, words count: 0
Worker 462, words count: 100
Worker 463, words count: 0
Worker 98, words count: 95
Worker 586, words count: 148
Worker 99, words count: 0
Worker 587, words count: 0
Worker 712, words count: 85
Worker 713, words count: 0
Worker 832, words count: 92
Worker 932, words count: 135
Worker 464, words count: 120
Worker 350, words count: 90
Worker 833, words count: 0
Worker 465, words count: 0
Worker 351, words count: 0
Worker 933, words count: 0
Worker 588, words count: 143
Worker 834, words count: 153
Worker 589, words count: 0
Worker 835, words count: 0
Worker 100, words count: 151
Worker 101, words count: 0
Worker 714, words count: 133
Worker 715, words count: 0
Worker 590, words count: 93
Worker 591, words count: 0
Worker 466, words count: 117
Worker 102, words count: 77
Worker 467, words count: 0
Worker 103, words count: 0
Worker 352, words count: 133
Worker 353, words count: 0
Worker 836, words count: 72
Worker 716, words count: 97
Worker 837, words count: 0
Worker 717, words count: 0
Worker 354, words count: 91
Worker 355, words count: 0
Worker 934, words count: 146
Worker 935, words count: 0
Worker 592, words count: 69
Worker 593, words count: 0
Worker 468, words count: 121
Worker 469, words count: 0
Worker 104, words count: 148
Worker 105, words count: 0
Worker 470, words count: 82
Worker 471, words count: 0
Worker 936, words count: 79
Worker 718, words count: 108
Worker 838, words count: 121
Worker 156, words count: 140
Worker 937, words count: 0
Worker 839, words count: 0
Worker 356, words count: 114
Worker 719, words count: 0
Worker 357, words count: 0
Worker 157, words count: 0
Worker 594, words count: 151
Worker 595, words count: 0
Worker 938, words count: 76
Worker 720, words count: 71
Worker 358, words count: 70
Worker 939, words count: 0
Worker 359, words count: 0
Worker 721, words count: 0
Worker 840, words count: 116
Worker 841, words count: 0
Worker 158, words count: 108
Worker 596, words count: 69
Worker 159, words count: 0
Worker 597, words count: 0
Worker 106, words count: 106
Worker 472, words count: 142
Worker 107, words count: 0
Worker 473, words count: 0
Worker 108, words count: 75
Worker 109, words count: 0
Worker 360, words count: 92
Worker 361, words count: 0
Worker 940, words count: 114
Worker 941, words count: 0
Worker 722, words count: 80
Worker 723, words count: 0
Worker 842, words count: 138
Worker 843, words count: 0
Worker 160, words count: 132
Worker 598, words count: 105
Worker 161, words count: 0
Worker 599, words count: 0
Worker 942, words count: 116
Worker 724, words count: 98
Worker 725, words count: 0
Worker 474, words count: 143
Worker 475, words count: 0
Worker 110, words count: 117
Worker 111, words count: 0
Worker 362, words count: 151
Worker 363, words count: 0
Worker 476, words count: 75
Worker 600, words count: 131
Worker 477, words count: 0
Worker 601, words count: 0
Worker 943, words count: 0
Worker 364, words count: 84
Worker 365, words count: 0
Worker 112, words count: 102
Worker 162, words count: 103
Worker 113, words count: 0
Worker 163, words count: 0
Worker 844, words count: 151
Worker 845, words count: 0
Worker 726, words count: 106
Worker 727, words count: 0
Worker 944, words count: 115
Worker 945, words count: 0
Worker 164, words count: 82
Worker 846, words count: 78
Worker 165, words count: 0
Worker 847, words count: 0
Worker 478, words count: 146
Worker 479, words count: 0
Worker 602, words count: 175
Worker 603, words count: 0
Worker 366, words count: 105
Worker 367, words count: 0
Worker 114, words count: 151
Worker 115, words count: 0
Worker 946, words count: 93
Worker 368, words count: 71
Worker 947, words count: 0
Worker 369, words count: 0
Worker 848, words count: 95
Worker 166, words count: 135
Worker 849, words count: 0
Worker 167, words count: 0
Worker 480, words count: 131
Worker 481, words count: 0
Worker 728, words count: 130
Worker 729, words count: 0
Worker 604, words count: 130
Worker 948, words count: 145
Worker 605, words count: 0
Worker 949, words count: 0
Worker 850, words count: 95
Worker 851, words count: 0
Worker 730, words count: 104
Worker 731, words count: 0
Worker 116, words count: 142
Worker 117, words count: 0
Worker 370, words count: 144
Worker 371, words count: 0
Worker 483, words count: 0
Worker 168, words count: 80
Worker 169, words count: 0
Worker 482, words count: 119
Worker 607, words count: 0
Worker 484, words count: 80
Worker 485, words count: 0
Worker 170, words count: 99
Worker 950, words count: 143
Worker 171, words count: 0
Worker 951, words count: 0
Worker 732, words count: 77
Worker 733, words count: 0
Worker 608, words count: 88
Worker 852, words count: 118
Worker 609, words count: 0
Worker 853, words count: 0
Worker 606, words count: 140
Worker 855, words count: 0
Worker 118, words count: 124
Worker 119, words count: 0
Worker 734, words count: 118
Worker 486, words count: 78
Worker 735, words count: 0
Worker 487, words count: 0
Worker 952, words count: 149
Worker 953, words count: 0
Worker 172, words count: 154
Worker 173, words count: 0
Worker 120, words count: 156
Worker 121, words count: 0
Worker 610, words count: 105
Worker 611, words count: 0
Worker 856, words count: 134
Worker 736, words count: 79
Worker 857, words count: 0
Worker 854, words count: 99
Worker 737, words count: 0
Worker 963, words count: 0
Worker 612, words count: 97
Worker 613, words count: 0
Worker 738, words count: 86
Worker 739, words count: 0
Worker 488, words count: 153
Worker 964, words count: 77
Worker 489, words count: 0
Worker 965, words count: 0
Worker 858, words count: 126
Worker 859, words count: 0
Worker 174, words count: 131
Worker 175, words count: 0
Worker 954, words count: 132
Worker 122, words count: 130
Worker 955, words count: 0
Worker 123, words count: 0
Worker 187, words count: 0
Worker 966, words count: 80
Worker 967, words count: 0
Worker 614, words count: 95
Worker 615, words count: 0
Worker 490, words count: 134
Worker 491, words count: 0
Worker 740, words count: 84
Worker 741, words count: 0
Worker 176, words count: 125
Worker 177, words count: 0
Worker 860, words count: 132
Worker 861, words count: 0
Worker 616, words count: 131
Worker 617, words count: 0
Worker 742, words count: 136
Worker 743, words count: 0
Worker 188, words count: 125
Worker 189, words count: 0
Worker 979, words count: 0
Worker 492, words count: 80
Worker 493, words count: 0
Worker 956, words count: 119
Worker 957, words count: 0
Worker 178, words count: 139
Worker 618, words count: 70
Worker 179, words count: 0
Worker 619, words count: 0
Worker 968, words count: 105
Worker 969, words count: 0
Worker 190, words count: 106
Worker 862, words count: 141
Worker 191, words count: 0
Worker 863, words count: 0
Worker 958, words count: 107
Worker 959, words count: 0
Worker 980, words count: 113
Worker 992, words count: 74
Worker 993, words count: 0
Worker 981, words count: 0
Worker 864, words count: 104
Worker 865, words count: 0
Worker 866, words count: 82
Worker 180, words count: 112
Worker 181, words count: 0
Worker 867, words count: 0
Worker 203, words count: 0
Worker 182, words count: 77
Worker 183, words count: 0
Worker 204, words count: 114
Worker 205, words count: 0
Worker 206, words count: 73
Worker 184, words count: 128
Worker 207, words count: 0
Worker 185, words count: 0
Worker 186, words count: 76
Worker 208, words count: 86
Worker 219, words count: 0
Worker 209, words count: 0
Worker 210, words count: 126
Worker 220, words count: 142
Worker 960, words count: 114
Worker 211, words count: 0
Worker 221, words count: 0
Worker 961, words count: 0
Worker 212, words count: 105
Worker 222, words count: 116
Worker 213, words count: 0
Worker 223, words count: 0
Worker 224, words count: 103
Worker 225, words count: 0
Worker 214, words count: 126
Worker 215, words count: 0
Worker 962, words count: 109
Worker 226, words count: 124
Worker 192, words count: 92
Worker 235, words count: 0
Worker 227, words count: 0
Worker 994, words count: 91
Worker 193, words count: 0
Worker 995, words count: 0
Worker 228, words count: 78
Worker 216, words count: 148
Worker 217, words count: 0
Worker 236, words count: 93
Worker 229, words count: 0
Worker 194, words count: 77
Worker 237, words count: 0
Worker 195, words count: 0
Worker 996, words count: 145
Worker 997, words count: 0
Worker 218, words count: 135
Worker 230, words count: 134
Worker 231, words count: 0
Worker 238, words count: 141
Worker 970, words count: 113
Worker 196, words count: 139
Worker 998, words count: 123
Worker 197, words count: 0
Worker 232, words count: 125
Worker 233, words count: 0
Worker 239, words count: 0
Worker 971, words count: 0
Worker 234, words count: 83
Worker 198, words count: 135
Worker 240, words count: 87
Worker 241, words count: 0
Worker 199, words count: 0
Worker 972, words count: 123
Worker 973, words count: 0
Worker 200, words count: 87
Worker 201, words count: 0
Worker 242, words count: 89
Worker 243, words count: 0
Worker 982, words count: 101
Worker 983, words count: 0
Worker 494, words count: 137
Worker 495, words count: 0
Worker 202, words count: 88
Worker 974, words count: 130
Worker 984, words count: 103
Worker 985, words count: 0
Worker 975, words count: 0
Worker 244, words count: 140
Worker 245, words count: 0
Worker 246, words count: 110
Worker 247, words count: 0
Worker 976, words count: 112
Worker 977, words count: 0
Worker 986, words count: 143
Worker 978, words count: 110
Worker 987, words count: 0
Worker 988, words count: 108
Worker 989, words count: 0
Worker 990, words count: 145
Worker 991, words count: 0
Total lines count 999
First read line: Worker 124, words count: 95
Last read line: Worker 991, words count: 0
List of prime numbers: 2 127 251 379 499 631 751 877 997 3 131 257 383 503 641 757 881 5 13 137 263 389 509 643 761 883 7 17 139 269 397 521 647 769 887 11 19 149 271 401 523 653 773 907 29 23 151 277 409 541 659 787 911 31 41 157 281 419 547 661 797 919 37 43 163 283 421 557 673 809 929 59 47 167 293 431 563 677 811 937 61 53 173 307 433 569 683 821 941 67 73 179 311 439 571 691 823 947 71 79 181 313 443 577 701 827 953 89 83 191 317 449 587 709 829 967 97 107 193 331 457 593 719 839 971 101 109 197 337 461 599 727 853 977 103 113 199 347 463 601 733 857 983 211 223 239 349 467 607 739 859 991 367 227 241 353 479 613 743 863 487 373 229 359 617 491 233 619
Total primes count: 168
Stage 2 - Logger: 2 points
04.01.2024 18:22:04, Color logger attaching
Severity: Normal, message: Ala has a cat
04.01.2024 18:22:04, Severity: Normal, Message: Ala has a cat
Severity: High, message: Warning Error
04.01.2024 18:22:04, Severity: High, Message: Warning Error
04.01.2024 18:22:04, Conditional logger attaching
Severity: Critical, message: Ala has a cat, sack full of sand 23 Error
04.01.2024 18:22:04, Severity: Critical, Message: Ala has a cat, sack full of sand 23 Error
Severity: Normal, message: Ala has a cat, sack full of sand 23 Error
04.01.2024 18:22:04, Severity: Normal, Message: Ala has a cat, sack full of sand 23 Error
04.01.2024 18:22:04, Color logger detaching
04.01.2024 18:22:04, Color logger detaching
04.01.2024 18:22:04, Conditional logger attaching
Severity: Debug, message: Nothing to do here, nothing to worry about
Severity: Debug, message: Nothing to do here
04.01.2024 18:22:04, Conditional logger detaching
04.01.2024 18:22:04, Conditional logger detaching
Stage 3 - File input: 2 points
04.01.2024 18:22:04, Color logger attaching
Detaching file source
Path: ./text.txt
Detached
Attaching random source
Chars array: ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789
Attached
Severity: Debug, message: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Volutpat consequat mauris nunc congue. Morbi blandit cursus risus at. Sed arcu non odio euismod lacinia at quis. Dui ut ornare lectus sit amet est. Sagittis vitae et leo duis ut diam. Egestas integer eget aliquet nibh praesent tristique. Imperdiet sed euismod nisi porta lorem mollis aliquam. Nec dui nunc mattis enim ut tellus elementum sagittis vitae. Elit at imperdiet dui accumsan sit amet nulla. Orci porta non pulvinar neque laoreet suspendisse. Et sollicitudin ac orci phasellus egestas tellus.
04.01.2024 18:22:04, Severity: Debug, Message: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Volutpat consequat mauris nunc congue. Morbi blandit cursus risus at. Sed arcu non odio euismod lacinia at quis. Dui ut ornare lectus sit amet est. Sagittis vitae et leo duis ut diam. Egestas integer eget aliquet nibh praesent tristique. Imperdiet sed euismod nisi porta lorem mollis aliquam. Nec dui nunc mattis enim ut tellus elementum sagittis vitae. Elit at imperdiet dui accumsan sit amet nulla. Orci porta non pulvinar neque laoreet suspendisse. Et sollicitudin ac orci phasellus egestas tellus.
Severity: Normal, message: PH4YAZGLNZKJ9

04.01.2024 18:22:04, Severity: Normal, Message: PH4YAZGLNZKJ9

Severity: Normal, message: 7VI2BCOZ9RO

04.01.2024 18:22:04, Severity: Normal, Message: 7VI2BCOZ9RO

